City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yellowknife,CA,2021-10-26 09:39:49,62.456,-114.3525,40.41,90,90,8.05
1,Vao,NC,2021-10-26 09:39:49,-22.6667,167.4833,72.07,84,66,17.9
2,Rikitea,PF,2021-10-26 09:39:49,-23.1203,-134.9692,75.34,72,93,14.79
3,Vaini,TO,2021-10-26 09:39:50,-21.2,-175.2,73.56,83,20,9.22
4,Udimskiy,RU,2021-10-26 09:39:50,61.1417,45.9144,32.5,98,100,0.98
5,Sao Domingos,BR,2021-10-26 09:39:50,-13.3983,-46.3183,73.51,80,94,6.73
6,New Norfolk,AU,2021-10-26 09:39:51,-42.7826,147.0587,51.3,97,3,2.64
7,Riachao Das Neves,BR,2021-10-26 09:39:51,-11.7461,-44.91,78.58,66,34,4.16
8,Moerai,PF,2021-10-26 09:39:51,-22.4333,-151.3333,73.35,75,100,20.6
9,Leningradskiy,RU,2021-10-26 09:39:52,69.3833,178.4167,9.64,94,100,19.93
10,Amahai,ID,2021-10-26 09:39:52,-3.3333,128.9167,81.27,80,32,2.86
11,Qaanaaq,GL,2021-10-26 09:39:53,77.484,-69.3632,11.86,88,100,11.56
12,Ahuimanu,US,2021-10-26 09:39:53,21.4447,-157.8378,75.85,73,40,12.66
13,Allanridge,ZA,2021-10-26 09:39:53,-27.7543,26.6438,75.29,45,29,7.18
14,Mahebourg,MU,2021-10-26 09:39:54,-20.4081,57.7,79.25,65,75,16.11
15,Jamestown,US,2021-10-26 09:35:58,42.097,-79.2353,54.09,99,90,5.99
16,Shimanovsk,RU,2021-10-26 09:39:54,52.0,127.7,35.85,87,70,4.61
17,Punta Arenas,CL,2021-10-26 09:39:55,-53.15,-70.9167,37.51,93,75,11.5
18,Emerald,AU,2021-10-26 09:39:55,-23.5333,148.1667,82.54,48,25,0.0
19,Carnarvon,AU,2021-10-26 09:39:55,-24.8667,113.6333,68.07,45,40,17.27
20,Puerto Ayora,EC,2021-10-26 09:39:56,-0.7393,-90.3518,68.07,85,76,7.96
21,Meulaboh,ID,2021-10-26 09:39:56,4.1363,96.1285,80.69,82,100,6.02
22,Constitucion,CL,2021-10-26 09:39:56,-35.3333,-72.4167,52.54,90,0,7.14
23,Cherskiy,RU,2021-10-26 09:39:57,68.75,161.3,-18.54,100,85,4.21
24,Sao Filipe,CV,2021-10-26 09:39:57,14.8961,-24.4956,78.19,82,61,12.44
25,Kolpashevo,RU,2021-10-26 09:39:57,58.3131,82.9089,42.93,78,100,16.08
26,Artyom,AZ,2021-10-26 09:39:58,40.4723,50.333,48.34,68,100,23.31
27,Hilo,US,2021-10-26 09:35:59,19.7297,-155.09,73.13,90,90,5.75
28,Superior,US,2021-10-26 09:39:58,46.7208,-92.1041,43.7,86,1,4.61
29,Atuona,PF,2021-10-26 09:39:58,-9.8,-139.0333,77.14,73,9,10.96
30,Bowen,AU,2021-10-26 09:39:59,-20.0167,148.2333,77.22,74,39,8.48
31,Victoria,HK,2021-10-26 09:37:59,22.2855,114.1577,81.97,70,63,1.01
32,Ushuaia,AR,2021-10-26 09:39:59,-54.8,-68.3,35.26,75,90,21.85
33,Kungurtug,RU,2021-10-26 09:40:00,50.5994,97.5228,40.42,47,7,1.36
34,Caravelas,BR,2021-10-26 09:40:00,-17.7125,-39.2481,77.22,87,89,6.42
35,Kodiak,US,2021-10-26 09:40:01,57.79,-152.4072,39.38,88,100,10.67
36,Saskylakh,RU,2021-10-26 09:40:02,71.9167,114.0833,4.24,96,100,2.35
37,Carballo,ES,2021-10-26 09:40:02,43.213,-8.691,63.91,75,44,1.74
38,Gambela,ET,2021-10-26 09:40:03,8.25,34.5833,93.96,40,77,2.73
39,Puri,IN,2021-10-26 09:40:04,19.8,85.85,88.32,67,30,10.07
40,Lethem,GY,2021-10-26 09:40:04,3.3803,-59.7968,74.64,93,100,7.74
41,Charlestown,AU,2021-10-26 09:40:05,-32.95,151.6667,65.73,74,9,1.01
42,Souillac,MU,2021-10-26 09:40:05,-20.5167,57.5167,79.36,65,75,16.11
43,Rawson,AR,2021-10-26 09:40:06,-43.3002,-65.1023,61.84,35,88,24.32
44,Khatanga,RU,2021-10-26 09:40:06,71.9667,102.5,3.74,97,100,3.04
45,Iqaluit,CA,2021-10-26 09:40:07,63.7506,-68.5145,31.73,86,90,10.0
46,Ambon,ID,2021-10-26 09:40:07,-3.6954,128.1814,84.34,79,40,4.61
47,Tutoia,BR,2021-10-26 09:40:07,-2.7619,-42.2744,80.87,69,49,15.05
48,Villablino,ES,2021-10-26 09:40:08,42.9393,-6.3194,57.25,99,99,1.99
49,Mar Del Plata,AR,2021-10-26 09:40:08,-38.0023,-57.5575,56.08,88,0,5.01
50,Busselton,AU,2021-10-26 09:40:09,-33.65,115.3333,52.05,70,59,6.38
51,Ludvika,SE,2021-10-26 09:40:09,60.1496,15.1878,50.34,75,100,10.8
52,Ilulissat,GL,2021-10-26 09:40:09,69.2167,-51.1,10.42,61,11,2.3
53,Smithers,CA,2021-10-26 09:40:10,54.7804,-127.1743,39.52,100,90,3.44
54,Kindu,CD,2021-10-26 09:40:10,-2.95,25.95,91.4,46,95,2.73
55,East London,ZA,2021-10-26 09:40:11,-33.0153,27.9116,68.94,77,75,16.11
56,Dikson,RU,2021-10-26 09:40:11,73.5069,80.5464,13.53,85,100,10.83
57,Gawler,AU,2021-10-26 09:40:12,-34.6,138.7333,74.71,21,27,9.13
58,Hermanus,ZA,2021-10-26 09:40:12,-34.4187,19.2345,74.8,50,100,14.32
59,Klaksvik,FO,2021-10-26 09:40:12,62.2266,-6.589,45.52,83,100,19.77
60,Kapaa,US,2021-10-26 09:40:13,22.0752,-159.319,73.72,88,75,12.66
61,Barrow,US,2021-10-26 09:40:13,71.2906,-156.7887,23.02,86,90,6.91
62,Ahipara,NZ,2021-10-26 09:40:13,-35.1667,173.1667,60.19,94,100,4.34
63,Dingle,PH,2021-10-26 09:40:14,10.9995,122.6711,78.31,88,95,6.26
64,Paslek,PL,2021-10-26 09:40:14,54.0616,19.6593,49.53,59,94,12.97
65,Makakilo City,US,2021-10-26 09:40:14,21.3469,-158.0858,74.68,71,1,0.0
66,Faanui,PF,2021-10-26 09:40:15,-16.4833,-151.75,76.51,79,100,4.27
67,Acapulco,MX,2021-10-26 09:36:27,16.8634,-99.8901,76.46,88,100,4.23
