City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
2,Quatre Cocos,MU,71.71,-20.2078,57.7625,Sunrise Attitude Hotel
11,Hilo,US,81.25,19.7297,-155.09,Hilo Hawaiian Hotel
12,Cayhagan,PH,77.85,9.6697,122.4256,Melrose Beach Resort
15,Lompoc,US,72.1,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
20,Luis Correia,BR,86.0,-2.8792,-41.6669,Hotel Amarração
21,La Asuncion,VE,87.53,11.0333,-63.8628,Colinas de Matasiete
23,Kavaratti,IN,81.97,10.5669,72.642,Hotels in Lakshadweep Islands
26,Inirida,CO,80.29,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
35,Bani Walid,LY,70.18,31.7566,13.9942,منزل الصابر أبوفانة
37,Galle,LK,77.25,6.0367,80.217,Amangalla
38,Rikitea,PF,75.0,-23.1203,-134.9692,People ThankYou
39,Lorengau,PG,81.63,-2.0226,147.2712,Lorengau Harbourside Hotel
41,Ponta Do Sol,PT,73.71,32.6667,-17.1,Hotel do Campo
43,Polewali,ID,75.9,-3.4324,119.3435,Lilianto Hotel
44,Port Blair,IN,80.37,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
54,Sinnamary,GF,82.56,5.3833,-52.95,ALETHEIA Appartement Sinnamary
61,Abu Dhabi,AE,82.51,24.4667,54.3667,Ramee Garden Hotel Apartments
62,Faanui,PF,78.15,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Kapaa,US,81.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Arlit,NE,86.77,18.7369,7.3853,Case de Passage De la Prefecture
70,Ambilobe,MG,75.96,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
72,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
75,Hithadhoo,MV,82.87,-0.6,73.0833,Scoop Guest House
77,Butaritari,KI,82.53,3.0707,172.7902,Isles Sunset Lodge
78,Diadi,PH,71.38,16.662,121.3658,Papa Pilor
79,Santa Rosalia,MX,82.58,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
82,Arraial Do Cabo,BR,73.26,-22.9661,-42.0278,Pousada Porto Praia
84,Kahului,US,85.26,20.8947,-156.47,Maui Seaside Hotel
85,Nabire,ID,74.55,-3.3667,135.4833,Hotel Nusantara Nabire
86,Ponta Delgada,PT,74.5,37.7333,-25.6667,Vila Nova Hotel
87,Atuona,PF,77.85,-9.8,-139.0333,Villa Enata
93,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
94,Miranda,CO,82.53,3.2499,-76.2281,unidiversidad organica la utopia
99,Chuy,UY,71.24,-33.6971,-53.4616,Nuevo Hotel Plaza
100,Wamba,NG,76.33,8.9333,8.6,Roma Zee Guest House Annex
102,Iguatemi,BR,76.69,-23.6803,-54.5611,Hotel Seriema
103,Tres Picos,MX,86.38,15.8667,-93.5333,Tres picos Chiapas
105,Araguaina,BR,89.56,-7.1911,-48.2072,Hotel São Vicente
113,Georgetown,MY,77.9,5.4112,100.3354,Cititel Penang
118,Yurecuaro,MX,83.19,20.3333,-102.3,Hotel el Castillo
119,Kralendijk,BQ,84.18,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
121,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,Bac Lieu,VN,79.75,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
128,Kakonko,TZ,70.11,-3.2828,30.9642,Edward Memorial Guest House
129,Toamasina,MG,71.6,-18.1667,49.3833,Hotel H1
130,Matara,LK,76.5,5.9485,80.5353,Amaloh Boutique Resort
131,Lagoa,PT,70.0,39.05,-27.9833,Casa Das Faias
136,Rawatsar,IN,73.13,29.2833,74.3833,Honda Service Center
137,Kailua,US,84.07,21.4022,-157.7394,Sheffield House Bed & Breakfast
143,Bima,ID,77.65,-8.4667,118.7167,Lambitu Hotel
144,Salalah,OM,80.69,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
152,Guerrero Negro,MX,75.69,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
154,Ewa Beach,US,84.02,21.3156,-158.0072,Uncle Junior Robert
155,Mao,ES,70.36,39.8885,4.2658,ARTIEM Capri
