City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2021-10-30 20:22:02,77.484,-69.3632,2.16,53,0,8.72
1,Vaini,TO,2021-10-30 20:18:40,-21.2,-175.2,77.16,88,20,9.22
2,Quatre Cocos,MU,2021-10-30 20:22:03,-20.2078,57.7625,71.71,77,46,7.81
3,Bluff,NZ,2021-10-30 20:22:03,-46.6,168.3333,54.91,66,89,20.27
4,Ushuaia,AR,2021-10-30 20:22:03,-54.8,-68.3,51.46,50,0,19.57
5,Cape Town,ZA,2021-10-30 20:19:22,-33.9258,18.4232,63.09,78,0,1.99
6,Durango,MX,2021-10-30 20:20:06,24.8333,-104.8333,74.21,27,2,0.72
7,Punta Arenas,CL,2021-10-30 20:22:04,-53.15,-70.9167,53.71,40,0,17.27
8,Cidreira,BR,2021-10-30 20:22:04,-30.1811,-50.2056,69.44,83,33,23.29
9,Batagay,RU,2021-10-30 20:20:40,67.6333,134.6333,-7.04,100,74,3.47
10,Cloquet,US,2021-10-30 20:22:05,46.7216,-92.4594,52.48,81,90,4.61
11,Hilo,US,2021-10-30 20:22:05,19.7297,-155.09,81.25,71,1,5.75
12,Cayhagan,PH,2021-10-30 20:22:06,9.6697,122.4256,77.85,85,100,11.01
13,Suntar,RU,2021-10-30 20:22:06,62.1444,117.6319,25.93,92,100,8.77
14,Wonthaggi,AU,2021-10-30 20:22:06,-38.6044,145.5913,51.71,76,100,7.81
15,Lompoc,US,2021-10-30 20:22:07,34.6391,-120.4579,72.1,78,20,10.36
16,Teguise,ES,2021-10-30 20:22:07,29.0605,-13.564,66.42,78,0,8.05
17,Artyom,AZ,2021-10-30 20:22:07,40.4723,50.333,53.74,68,100,5.53
18,Presidencia Roque Saenz Pena,AR,2021-10-30 20:22:08,-26.7852,-60.4388,91.38,39,70,6.53
19,Zasheyek,RU,2021-10-30 20:22:08,67.4066,32.5499,33.84,98,100,3.13
20,Luis Correia,BR,2021-10-30 20:22:08,-2.8792,-41.6669,86.0,74,40,12.66
21,La Asuncion,VE,2021-10-30 20:22:09,11.0333,-63.8628,87.53,58,92,17.27
22,Gao,ML,2021-10-30 20:22:09,16.6362,1.637,88.29,12,71,5.55
23,Kavaratti,IN,2021-10-30 20:22:09,10.5669,72.642,81.97,72,93,2.84
24,Codrington,AU,2021-10-30 20:21:35,-38.2667,141.9667,41.32,95,3,8.1
25,Port Alfred,ZA,2021-10-30 20:22:10,-33.5906,26.891,63.97,89,69,7.49
26,Inirida,CO,2021-10-30 20:22:10,3.8653,-67.9239,80.29,86,84,4.18
27,Severo-Kurilsk,RU,2021-10-30 20:20:10,50.6789,156.125,39.92,84,67,10.89
28,Asfi,MA,2021-10-30 20:22:11,32.2994,-9.2372,65.73,86,9,2.3
